MRO,0.001097,0.180238
MS,0.007805,0.722778
MSCI,0.088237,2.215320
MSFT,0.019132,0.610391
MSI,0.011937,0.694470
MTB,0.009328,0.770656
MTCH,0.004265,0.447174
MTD,0.163553,3.944019
MU,0.003825,0.501619
NCLH,-0.002699,0.660979
NDAQ,0.008031,0.236969
NDSN,0.015176,0.536320
NEE,0.004666,0.137812
NEM,0.002363,0.581578
NFLX,0.042501,2.261713
NI,0.001271,0.086407
NKE,0.007340,0.293643
NOC,0.034613,0.983060
NOW,0.102532,4.172942
NRG,0.003422,0.407594
NSC,0.017101,0.743812
NTAP,0.006438,0.763454
NTRS,0.005756,0.560209
NUE,0.009522,0.475842
NVDA,0.020664,0.696182
NVR,0.344092,12.961722
NWL,0.000852,0.276321
NWS,0.000993,0.201063
NWSA,0.000837,0.202821
NXPI,0.035530,1.576962
O,0.005563,0.359945
ODFL,0.026687,0.603917
OGN,-0.008737,0.526842
OKE,0.004092,0.258662
OMC,0.005087,0.386573
ON,0.005758,0.323060
ORCL,0.005996,0.308971
ORLY,0.075407,1.484067
OTIS,0.035736,0.886957
OXY,0.003529,0.516958
PARA,-0.001131,0.547946
PAYC,0.099058,3.674794
PAYX,0.008577,0.381109
PCAR,0.006468,0.370984
PCG,0.000102,0.271749
PEAK,0.001516,0.257190
PEG,0.003490,0.260046
PEP,0.009875,0.383311
PFE,0.002831,0.200594
PFG,0.008917,0.623722
PG,0.006775,0.292082
PGR,0.008214,0.226365
PH,0.018772,0.827774
PHM,0.002921,0.243761
PKG,0.014901,0.677133
PKI,0.008081,0.377315
PLD,0.010717,0.600741
PM,0.009831,0.780110
PNC,0.008806,0.658649
PNR,0.002513,0.216937
PNW,0.003134,0.356002
POOL,0.033714,1.112646
PPG,0.008480,0.491297
PPL,0.001635,0.188141
PRU,0.009638,0.998736
PSA,0.018731,0.895889
PSX,0.017483,1.126519
PTC,0.010386,0.743261
PWR,0.015991,0.551293
PXD,0.020287,1.581231
PYPL,0.013614,1.923211
QCOM,0.010856,0.768290
QRVO,0.010958,1.755577
RCL,0.004310,0.798377
RE,0.031383,1.349991
REG,0.004365,0.535972
REGN,0.062743,2.573201
RF,0.001284,0.188736
RHI,0.004864,0.354484
RJF,0.007698,0.290076
RL,0.008552,1.240794
RMD,0.022179,0.665976
ROK,0.017620,0.935728
ROL,0.002441,0.072490
ROP,0.039233,1.204007
ROST,0.008575,0.319857
RSG,0.013369,0.399400
RTX,0.004477,0.239775
SBAC,0.034099,1.235907
SBNY,0.014700,1.521847
SBUX,0.009147,0.324280
SCHW,0.006015,0.363398
SEDG,0.108883,3.476852
SEE,0.003352,0.261576
SHW,0.016564,0.480103
SIVB,0.018176,1.603913
SJM,0.012718,0.660951
SLB,0.002479,0.603711
SNA,0.012490,0.604202
SNPS,0.029361,0.849026
SO,0.004516,0.235747
SPG,0.009381,1.061681
SPGI,0.019618,0.638068
SRE,0.015235,0.711359
STE,0.017667,0.661415
STT,0.005198,0.548994
STX,0.006113,0.634625
STZ,0.021314,0.695426
SWK,0.004967,0.679472
SWKS,0.006598,0.654757
SYF,0.004053,0.497139
SYK,0.016261,0.592658
SYY,0.004546,0.230802
T,0.001068,0.232574
TAP,0.002153,0.363964
TDG,0.098494,3.292988
TDY,0.048981,1.497432
TECH,0.007028,0.276770
TEL,0.015308,0.814753
TER,0.005239,0.437732
TFC,0.002646,0.318273
TFX,0.016140,0.938559
TGT,0.008270,0.472039
TJX,0.006054,0.197383
TMO,0.036469,0.965410
TMUS,0.015004,0.804810
TPR,0.004433,0.552010
TRGP,0.010946,0.896284
TRMB,0.004504,0.284779
TROW,0.009151,0.623901
TRV,0.010372,0.503483
TSCO,0.020308,0.572650
TSLA,0.035024,1.654997
TSN,0.004009,0.306874
TT,0.011149,0.373554
TTWO,0.010737,0.723194
TXN,0.009525,0.470205
TXT,0.003770,0.316494
TYL,0.021315,0.806370
UAL,0.001181,0.853201
UDR,0.002478,0.209709
UHS,0.008471,0.514738
ULTA,0.078616,2.611808
UNH,0.038610,0.847127
UNP,0.013707,0.518642
UPS,0.013706,0.920448
URI,0.038573,1.415986
USB,0.002416,0.224209
V,0.036959,1.091144
VFC,0.001801,0.277970
VICI,0.007913,0.312560
VLO,0.007692,0.470698
VMC,0.010159,0.594927
VNO,0.001427,0.412653
VRSK,0.032706,0.963820
VRSN,0.021576,1.349658
VRTX,0.026392,1.219313
VTR,0.002332,0.571804
VTRS,0.000634,0.243330
VZ,0.002100,0.367569
WAB,0.009506,0.531355
WAT,0.034470,1.265817
WBA,0.002615,0.347735
WBD,0.000482,0.366262
WDC,0.002183,0.486163
WEC,0.006199,0.239262
WELL,0.003829,0.404498
WFC,0.002261,0.243927
WHR,0.007227,0.978106
WM,0.012875,0.454576
WMB,0.002031,0.272457
WMT,0.008024,0.382406
WRB,0.004059,0.110792
WRK,-0.007407,0.706112
WST,0.016086,0.528064
WTW,0.025855,1.269040
WY,0.000762,0.504687
WYNN,0.010016,1.942873
XEL,0.003537,0.205737
XOM,0.004747,0.342265
XRAY,0.002401,0.302060
XYL,0.022246,0.722534
YUM,0.013551,0.464307
ZBH,0.012743,0.980569
ZBRA,0.022653,1.232983
ZION,0.002975,0.426718
ZTS,0.034414,1.073382
